Region,Country,Province,StrainID,sra_code,lat,lon,cave,year,adj.lat,adj.lon
North America,Canada,NB,Gd05848,662104,,,Missing62,2012,0,0
North America,Canada,NS,Gd06018,6366,,,Missing63,2012,0,0
North America,Canada,NS,Gd06017,BBC7,,,Missing64,2012,0,0
North America,Canada,NS,Gd06020,R5,,,Missing65,2012,0,0
North America,Canada,NS,Gd06022,76A9,,,Missing66,2012,0,0
North America,Canada,NS,Gd06012,C2,,,Missing67,2012,0,0
North America,Canada,NS,Gd06024,R9,,,Missing68,2012,0,0
North America,Canada,NS,Gd06021,R6,,,Missing69,2012,0,0
North America,Canada,NS,Gd06023,R8,,,Missing70,2012,0,0
North America,Canada,NS,Gd06013,C3,,,Missing71,2012,0,0
North America,Canada,NS,Gd06014,C4,,,Missing72,2012,0,0
North America,Canada,NS,Gd06016,R1,,,Missing73,2012,0,0
North America,Canada,NS,Gd06019,R4,,,Missing74,2012,0,0
North America,Canada,NS,Gd06015,C5,,,Missing75,2012,0,0
North America,USA,CT,Gd05628,3-CT-6,,,Missing76,2009,0,0
North America,USA,MA,Gd05635,7-MA-10,,,Missing77,2009,0,0
North America,USA,NH,Gd05629,3-NH-12,,,Missing78,2009,0,0
North America,USA,NH,Gd05639,7W,,,Missing79,2011,0,0
North America,USA,NH,Gd05630,9S,,,Missing80,2011,0,0
North America,USA,NH,Gd05641,10S,,,Missing81,2011,0,0
North America,USA,NH,Gd05640,10F,,,Missing82,2012,0,0
North America,USA,NH,Gd05633,3-NH-10,,,Missing83,2009,0,0
North America,USA,NH,Gd05638,9W,,,Missing84,2011,0,0
North America,USA,NH,Gd05632,3-NH-7,,,Missing85,2009,0,0
North America,USA,NH,Gd05634,7S,,,Missing86,2011,0,0
North America,USA,NJ,Gd00083,22442-1,,,Missing87,2009,0,0
North America,USA,NY,Gd00707,WW20,,,Missing88,2011,0,0
North America,USA,NY,Gd14868,WHM-4-41,,,Missing89,2008,0,0
North America,USA,NY,Gd14866,WHM-4-28,,,Missing90,2008,0,0
North America,USA,NY,Gd14486,NY,,,Missing91,2008,0,0
North America,USA,NY,Gd14879,GM-O-1,,,Missing92,2008,0,0
North America,USA,NY,Gd14884,GM-F-3,,,Missing93,2008,0,0
North America,USA,NY,Gd14487,NY,,,Missing94,2008,0,0
North America,USA,NY,Gd00753,HM12B,,,Missing95,2011,0,0
North America,USA,NY,Gd14068,North-5,,,Missing96,2013,0,0
North America,USA,NY,Gd14484,NY,,,Missing97,2008,0,0
North America,USA,NY,Gd14485,NY,,,Missing98,2008,0,0
North America,USA,NY,Gd14867,WHM-4-32,,,Missing99,2008,0,0
North America,USA,NY,Gd14876,BM7,,,Missing100,2009,0,0
North America,USA,NY,Gd14880,GM-O-2,,,Missing101,2008,0,0
North America,USA,NY,Gd14881,GM-O-3,,,Missing102,2008,0,0
North America,USA,NY,Gd14882,GM-F-1,,,Missing103,2009,0,0
North America,USA,NY,Gd14883,GM-F-2,,,Missing104,2008,0,0
North America,USA,VA,Gd05626,1F,,,Missing105,2012,0,0
North America,USA,VA,Gd05627,1S,,,Missing106,2011,0,0
North America,USA,VT,Gd05631,4W,,,Missing107,2011,0,0
North America,USA,VT,Gd05644,4S,,,Missing108,2011,0,0
North America,USA,VT,Gd05636,5F,,,Missing109,2011,0,0
North America,USA,VT,Gd05637,5W,,,Missing110,2011,0,0
North America,USA,WV,Gd05642,15S,,,Missing111,2011,0,0
North America,USA,WV,Gd05643,15W,,,Missing112,2011,0,0
Europe,Belgium,Wallonie,Gd00500,Gd35,,,Missing113,2010,0,0
Europe,Estonia,Harju,Gd00497,Gd150,,,Missing114,2011,0,0
Europe,France,France,Gd00493,Gd23,,,Missing115,2011,0,0
Europe,France,France,Gd00492,Gd24,,,Missing116,2011,0,0
Europe,France,Bretagne,Gd00496,Gd38,,,Missing117,2010,0,0
Europe,France,Bretagne,Gd00495,Gd38,,,Missing118,2010,0,0
Europe,Poland,Poland,Gd00498,Gd30,,,Missing119,2010,0,0
Europe,Ukraine,Lower Silesia,Gd00499,Gd31,,,Missing120,2010,0,0
Europe,Unknown,Unknown,Gd_00388-ca,Gd_00388-ca,,,Missing121,,0,0
Europe,Unknown,Unknown,Gd_00388-cb,Gd_00388-cb,,,Missing122,,0,0
Europe,Unknown,Unknown,Gd_00388-cc,Gd_00388-cc,,,Missing123,,0,0
Europe,Unknown,Unknown,Gd_00389-aa,Gd_00389-aa,,,Missing124,,0,0
Europe,Unknown,Unknown,Gd_00389-ab,Gd_00389-ab,,,Missing125,,0,0
Europe,Unknown,Unknown,Gd_00389-ac,Gd_00389-ac,,,Missing126,,0,0
Europe,Unknown,Unknown,Gd_00390-aa,Gd_00390-aa,,,Missing127,,0,0
Europe,Unknown,Unknown,Gd_00390-ab,Gd_00390-ab,,,Missing128,,0,0
Europe,Unknown,Unknown,Gd_00390-ac,Gd_00390-ac,,,Missing129,,0,0
Europe,Unknown,Unknown,Gd_00391-bb,Gd_00391-bb,,,Missing130,,0,0
Europe,Unknown,Unknown,Gd_00391-bc,Gd_00391-bc,,,Missing131,,0,0
Europe,Unknown,Unknown,Gd_00391-ca,Gd_00391-ca,,,Missing132,,0,0
Europe,Unknown,Unknown,Gd_00391-cb,Gd_00391-cb,,,Missing133,,0,0
Europe,Unknown,Unknown,Gd_00303-ba,Gd_00303-ba,,,Missing134,,0,0
Europe,Unknown,Unknown,Gd_00303-ca,Gd_00303-ca,,,Missing135,,0,0
Europe,Unknown,Unknown,Gd_00303-cc,Gd_00303-cc,,,Missing136,,0,0
Europe,Unknown,Unknown,Gd_00304-ba,Gd_00304-ba,,,Missing137,,0,0
Europe,Unknown,Unknown,Gd_00304-bb,Gd_00304-bb,,,Missing138,,0,0
Europe,Unknown,Unknown,Gd_00304-ca,Gd_00304-ca,,,Missing139,,0,0
Europe,Unknown,Unknown,Gd_00305-aa,Gd_00305-aa,,,Missing140,,0,0
Europe,Unknown,Unknown,Gd_00305-ba,Gd_00305-ba,,,Missing141,,0,0
Europe,Unknown,Unknown,Gd_00305-ca,Gd_00305-ca,,,Missing142,,0,0
Europe,Unknown,Unknown,Gd_00306-ba,Gd_00306-ba,,,Missing143,,0,0
Europe,Unknown,Unknown,Gd_00306-bb,Gd_00306-bb,,,Missing144,,0,0
Europe,Unknown,Unknown,Gd_00306-bc,Gd_00306-bc,,,Missing145,,0,0
