GC	title	lat	lon	country	province/state	numfinds
GC2BXNG	Meteor Cave	N 48° 33.182	E 020° 42.429	Hungary	Borsod-Abaúj-Zemplén	39
GC2C1HF	Cave Szabadság	N 48° 27.265	E 020° 34.310	Hungary	Borsod-Abaúj-Zemplén	34
GC2DPE1	Die Veleda-Höhle / The Veleda-cave	N 51° 20.912	E 008° 22.740	Germany	Nordrhein-Westfalen	342
GC2E3M2	Smrtni jeskyne (Death cave)	N 49° 22.052	E 016° 44.572	Czechia	Jihomoravský kraj	1911
GC2EBE8	Backes-Rallye: Kersbach	N 49° 40.809	E 011° 04.325	Germany	Bayern	303
GC2EQVG	Alter Bahnhof	N 49° 36.631	E 011° 07.766	Germany	Bayern	322
GC2EYP4	The Jared Cave	N 47° 08.481	E 009° 03.173	Switzerland	St. Gallen	243
GC2F24R	Sontheimer Tropfsteinhöhle (limestone cave)	N 48° 25.870	E 009° 41.023	Germany	Baden-Württemberg	248
GC2FHJR	La grotte aux cristaux / Crystal Cave	N 48° 26.605	E 002° 40.229	France	Île-de-France	255
GC2FM87	La cave voutée de Fosse	N 49° 17.725	E 002° 40.996	France	Hauts-de-France	147
GC2FWB5	BILDSTOCK: Cave and Lostplace	N 49° 31.620	E 007° 15.672	Germany	Saarland	113
GC2FXPZ	LP Betonwerke	N 49° 36.500	E 011° 08.036	Germany	Bayern	678
GC2GE6W	Gorges Cave	N 46° 26.794	E 006° 56.614	Switzerland	Vaud	49
GC2HB4E	1 La tourniquette des Zinzins : La cave	N 43° 54.893	E 004° 30.658	France	Occitanie	67
GC2JHE3	The biggest thermal water cave in the world	N 47° 31.080	E 019° 02.168	Hungary	Budapest	926
GC2K485	Die Balver Höhle - The Cave Balver	N 51° 20.365	E 007° 52.295	Germany	Nordrhein-Westfalen	434
GC2ME0C	Cave canem! I	N 53° 43.308	E 009° 56.211	Germany	Schleswig-Holstein	589
GC2NMTK	Zpivajici jeskyne (The Singing cave)	N 49° 59.797	E 013° 10.031	Czechia	Plzeňský kraj	307
GC2P17B	Cave Canem! II	N 53° 43.223	E 009° 56.125	Germany	Schleswig-Holstein	626
GC2P17K	Cave Canem! III	N 53° 43.211	E 009° 55.905	Germany	Schleswig-Holstein	702
GC2Q12C	Neolithikum/Stone Age Cave	N 49° 08.748	E 011° 46.678	Germany	Bayern	81
GC2QWZN	Borzas mountain cave	N 47° 11.085	E 017° 50.019	Hungary	Veszprém	104
GC2R57K	Silver Cave	N 47° 38.519	E 007° 41.696	Germany	Baden-Württemberg	61
GC2TYRY	La cave des Templiers	N 48° 08.907	E 002° 41.939	France	Île-de-France	53
GC2WP2Q	La cave aux fées	N 49° 02.148	E 001° 48.868	France	Île-de-France	140
GC2Y956	MBC Cave Bunker	N 50° 23.429	E 007° 37.548	Germany	Rheinland-Pfalz	56
GC2YWP7	Cave Canem	N 48° 53.655	E 013° 38.551	Germany	Bayern	139
GC2ZCYR	Wolf-hole cave	N 47° 57.632	E 019° 46.396	Hungary	Nógrád	15
GC30CW5	Grotte et ancienne cave à fromage de Matharel	N 43° 57.475	E 003° 02.460	France	Occitanie	19
GC31H8V	Budapest 2011 - Cave HUNt	N 47° 32.047	E 019° 01.353	Hungary	Budapest	30
GC33H8K	2#Découverte de...Listrac-Médoc~Cave et Château	N 45° 04.466	W 000° 47.581	France	Nouvelle-Aquitaine	62
GC340EW	Dragon Cave	N 47° 25.180	E 009° 16.904	Switzerland	St. Gallen	217
GC3414	Odvaskõ Cave	N 47° 17.336	E 017° 42.971	Hungary	Veszprém	285
GC37B3T	Flint Mountain Cave	N 47° 08.259	E 017° 41.969	Hungary	Veszprém	39
GC386QK	Inside the Cave	N 49° 18.761	E 007° 31.442	Germany	Rheinland-Pfalz	3
GC38DAW	Dragon-Cave	N 50° 25.260	E 007° 58.951	Germany	Hessen	142
GC38DCC	Grotte de Troubat / Troubat cave	N 42° 58.557	E 000° 35.042	France	Occitanie	40
GC3BFH2	Jeskyne krale Saula / King Saul's cave	N 49° 58.341	E 016° 20.407	Czechia	Pardubický kraj	25
