"","gc.lat","gen.lat","gc.lon","gen.lon","dist","Region","Country","Province","StrainID","sra_code","lon.x","cave","year","adj.lat","adj.lon","GC","lon.y","max"
"113",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB19","NB19",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"114",45.8875,46.203033,-64.4227777777778,-63.150144,104558.068451438,"North America","Canada","PEI","PE2","PE2",-63.150144,"Rocky Point",2013,46.203033,-63.150144,"GC16QVH",-64.4227777777778,14
"115",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB7","NB7",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"116",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB16","NB16",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"117",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB11","NB11",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"118",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB12","NB12",-64.645711,"Berryton Cave",2012,45.8751,-64.871633,"GC16QVH",-64.4227777777778,14
"119",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB71","NB71",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"120",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB8","NB8",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"121",45.8875,45.9369,-64.4227777777778,-64.4769,6912.40313481639,"North America","Canada","NB","Gd05846","W41203",-64.4769,"Missing28",2012,45.9369,-64.4769,"GC16QVH",-64.4227777777778,14
"122",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB58","NB58",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"123",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB29","NB29",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"124",45.8875,46.203033,-64.4227777777778,-63.150144,104558.068451438,"North America","Canada","PEI","PE1","PE1",-63.150144,"Rocky Point",2013,46.203033,-63.150144,"GC16QVH",-64.4227777777778,14
"125",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB60","NB60",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"126",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB68","NB68",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
"127",45.8875,45.923222,-64.4227777777778,-64.645711,17748.3721131602,"North America","Canada","NB","NB45","NB45",-64.645711,"White Cave",2012,45.923222,-64.645711,"GC16QVH",-64.4227777777778,14
