,NAU.sample.ID,Pd1,Pd2,Pd3,Pd4,Pd5,Pd6,Pd7,Pd8,Pd9,Pd10,Pd11,Pd12,Pd13,Pd14,Pd15,Pd16,Pd17,Pd18,Pd19,Pd20,Pd21,Pd22,Pd23,Pd1_bins,Pd2_bins,Pd3_bins,Pd4_bins,Pd5_bins,Pd6_bins,Pd7_bins,Pd8_bins,Pd10_bins,Pd11_bins,Pd12_bins,Pd13_bins,Pd14_bins,Pd15_bins,Pd16_bins,Pd17_bins,Pd18_bins,Pd19_bins,Pd20_bins,Pd21_bins,Pd22_bins,Pd23_bins
Gd05628,Gd05628,NA,254,354,422,273,214,437,431,394,237,388,146,439,263,424,NA,274,167,280,193,289,322,351,NA,NA,353,421,267,213,436,408,231,386,141,438,251,412,NA,268,155,276,192,283,321,346
Gd05629,Gd05629,NA,254,354,422,273,214,437,431,394,237,388,146,439,263,NA,318,274,167,280,193,289,322,351,NA,NA,353,421,267,213,436,408,231,386,141,438,251,NA,315,268,155,276,192,283,321,346
Gd05630,Gd05630,282,266,355,421,273,210,437,431,394,238,388,146,NA,264,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,207,436,408,237,386,141,NA,263,412,315,268,155,276,192,283,321,346
Gd05631,Gd05631,277,260,355,422,273,214,438,431,394,238,388,146,NA,264,424,318,274,167,280,193,289,321,351,276,NA,353,421,267,213,436,408,237,386,141,NA,263,412,315,268,155,276,192,283,311,346
Gd05632,Gd05632,282,260,355,421,272,214,437,NA,394,238,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,NA,237,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05633,Gd05633,282,255,354,422,273,214,437,431,394,237,388,146,NA,263,424,318,274,167,280,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,NA,251,412,315,268,155,276,192,283,321,346
Gd05634,Gd05634,282,255,354,421,273,214,437,431,394,237,388,146,439,263,424,318,274,167,279,193,289,322,351,276,NA,353,415,267,213,436,408,231,386,141,438,251,412,315,268,155,276,192,283,321,346
Gd05635,Gd05635,281,248,354,427,273,214,437,431,394,237,388,146,439,264,424,318,274,167,279,193,289,322,351,276,NA,353,421,267,213,436,408,231,386,141,438,263,412,315,268,155,276,192,283,321,346
Gd05636,Gd05636,282,254,354,422,273,214,437,431,394,237,394,146,439,264,424,318,274,167,279,193,289,321,351,276,NA,353,421,267,213,436,408,231,392,141,438,263,412,315,268,155,276,192,283,311,346
Gd05637,Gd05637,282,248,354,422,170,214,437,431,394,237,388,146,NA,264,424,318,274,167,279,193,289,319,351,276,NA,353,421,NA,213,436,408,231,386,141,NA,263,412,315,268,155,276,192,283,311,346
