GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC261V3,TheTragicHistoryoftheBethlehemMine,NA,40.0166666666667,-79.9017666666667,UnitedStates,Pennsylvania,WashingtonCounty,92,NA
GC263F,PortlandCave,NA,34.0632166666667,-84.96765,UnitedStates,Georgia,PolkCounty,116,NA
GC2647E,SpaghettiCave,NA,29.6097333333333,-97.5608833333333,UnitedStates,Texas,BexarCounty,52,NA
GC2668T,BellevueMine,NA,49.58185,-113.63285,Canada,Alberta,DivisionNo.15Canmore,127,NA
GC266MV,SaltPeterCave,NA,37.5362,-87.45435,UnitedStates,Illinois,PopeCounty,9,NA
GC26C53,Thecachecave,NA,39.2365666666667,-120.76715,UnitedStates,California,NevadaCounty,20,NA
GC26J2A,THECAVEOFDARKNESS!!!!,NA,42.0491,-93.9596666666667,UnitedStates,Iowa,BooneCounty,68,NA
GC26N31,TheCaveExpedition,NA,51.94865,-111.0486,Canada,Alberta,DivisionNo.5Strathmore,16,NA
GC27189,It'sminenow.,NA,37.5555,-96.7743166666667,UnitedStates,Kansas,SedgwickCounty,83,NA
GC2722W,MineralMineCache,NA,44.5624833333333,-116.92725,UnitedStates,Idaho,WashingtonCounty,4,NA
GC273FK,LairoftheCaveMonkeys,NA,34.6123666666667,-87.8008166666667,UnitedStates,Mississippi,TishomingoCounty,25,NA
GC274JN,DowninthePigMine,NA,28.9610833333333,-95.4544166666667,UnitedStates,Texas,JacksonCounty,47,NA
GC2778Z,Cave,NA,47.4427333333333,-118.130883333333,UnitedStates,Washington,DouglasCounty,23,NA
GC277YX,CaveofDebacle,NA,NA,NA,NA,NA,NA,NA,NA
GC27CD,MineWashRoadCache,NA,33.10625,-115.647533333333,UnitedStates,California,SanDiegoCounty,50,NA
GC27J2H,ThisOldMine,NA,35.4052666666667,-114.191266666667,UnitedStates,California,SanBernardinoCounty,72,NA
GC27VG1,HiddenGlenCave,NA,30.54305,-96.2892,UnitedStates,Texas,WilliamsonCounty,40,NA
GC27XNP,Mine'sGateCache,NA,47.32595,-52.22825,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,61,NA
GC27YE7,Kayak2...MINE!,NA,38.7983333333333,-120.901666666667,UnitedStates,California,ElDoradoCounty,10,NA
GC27ZBY,BearCave,NA,41.9703166666667,-122.8007,UnitedStates,California,SiskiyouCounty,2,NA
GC280ZE,TheCaveofWonder,NA,32.9179666666667,-116.79145,UnitedStates,California,SanDiegoCounty,55,NA
GC2812V,MineMineMine,NA,33.1852,-116.673133333333,UnitedStates,California,SanDiegoCounty,12,NA
GC2813T,ItsAllMine,NA,33.18585,-116.674816666667,UnitedStates,California,SanDiegoCounty,14,NA
GC2814F,StillAllMine,NA,33.1870666666667,-116.672933333333,UnitedStates,California,SanDiegoCounty,149,NA
GC2841,AboveBannerMine,NA,33.0511166666667,-115.476466666667,UnitedStates,California,SanDiegoCounty,10,NA
GC2868J,Not(another)Mine!,NA,38.8684833333333,-120.93385,UnitedStates,California,PlacerCounty,25,NA
GC2873J,TheBatCave,NA,NA,NA,NA,NA,NA,NA,NA
GC2895J,OnTopofMine,NA,45.5409833333333,-121.202166666667,UnitedStates,Oregon,WashingtonCounty,176,NA
GC28FF,RedCloudMineCache,NA,33.5953333333333,-114.557666666667,UnitedStates,California,RiversideCounty,34,NA
GC28KBF,"ItsSoEasyACaveManCanDoIt",NA,NA,NA,NA,NA,NA,NA,NA
GC28YNR,RabbitSpringsCaveView,NA,34.4485166666667,-115.006166666667,UnitedStates,California,SanBernardinoCounty,38,NA
GC29C8,BurksvilleCave,NA,38.2352333333333,-89.8623166666667,UnitedStates,Illinois,MonroeCounty,79,NA
GC29GPA,ThisLittleLightOfMine,NA,38.56335,-120.666716666667,UnitedStates,California,SacramentoCounty,228,NA
GC29HGM,OldAmbroseMineCache,NA,33.69185,-95.61605,UnitedStates,Texas,GraysonCounty,18,NA
GC29KA4,KillpeckerCoalMine,NA,41.9539333333333,-108.852483333333,UnitedStates,Wyoming,SweetwaterCounty,26,NA
GC29MEC,ThisLittleLightofMine,NA,46.2177333333333,-118.884,UnitedStates,Washington,BentonCounty,571,NA
