county,WNS_MAP_YR,WNS_STATUS
Beaver-Pennsylvania,2009-10,Absent
Beaver-Pennsylvania,2010-11,Absent
Beaver-Pennsylvania,2012-13,Absent
Beaver-Pennsylvania,2013-14,Absent
Beaver-Pennsylvania,2014-15,Absent
Beaver-Pennsylvania,2015-16,Absent
Beaver-Pennsylvania,2016-17,Absent
Beaver-Pennsylvania,2017-18,Absent
Beaver-Pennsylvania,2018-19,Absent
Becker-Minnesota,2006-07,Absent
Becker-Minnesota,2007-08,Absent
Becker-Minnesota,2008-09,Absent
Becker-Minnesota,2009-10,Absent
Becker-Minnesota,2010-11,Absent
Becker-Minnesota,2011-12,Absent
Becker-Minnesota,2012-13,Absent
Becker-Minnesota,2013-14,Absent
Becker-Minnesota,2014-15,Absent
Becker-Minnesota,2016-17,Absent
Becker-Minnesota,2017-18,Absent
Becker-Minnesota,2018-19,Absent
Bedford-Pennsylvania,2006-07,Absent
Bedford-Pennsylvania,2007-08,Absent
Bedford-Pennsylvania,2008-09,Absent
Bedford-Pennsylvania,2009-10,Absent
Bedford-Pennsylvania,2010-11,Absent
Bedford-Pennsylvania,2012-13,Absent
Bedford-Pennsylvania,2013-14,Absent
Bedford-Pennsylvania,2014-15,Absent
Bedford-Pennsylvania,2015-16,Absent
Bedford-Pennsylvania,2016-17,Absent
Bedford-Pennsylvania,2017-18,Absent
Bedford-Pennsylvania,2018-19,Absent
Bedford-Tennessee,2006-07,Absent
Bedford-Tennessee,2007-08,Absent
Bedford-Tennessee,2008-09,Absent
Bedford-Tennessee,2009-10,Absent
Bedford-Tennessee,2010-11,Absent
Bedford-Tennessee,2011-12,Absent
Bedford-Tennessee,2012-13,Absent
Bedford-Tennessee,2014-15,Absent
Bedford-Tennessee,2015-16,Absent
Bedford-Tennessee,2016-17,Absent
Bedford-Tennessee,2017-18,Absent
Bedford-Tennessee,2018-19,Absent
Bell-Kentucky,2006-07,Absent
Bell-Kentucky,2007-08,Absent
Bell-Kentucky,2008-09,Absent
Bell-Kentucky,2009-10,Absent
Bell-Kentucky,2010-11,Absent
Bell-Kentucky,2011-12,Absent
