GC,title,nospace,url,lat,lon,country,province/state,county,numfinds
GC1CN3D,A Hike A Day,a-hike-a-day,https://www.geocaching.com/geocache/GC1CN3D_a-hike-a-day,N 47° 31.852,W 052° 38.955,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,81
GC1D1B6,Falls Trail Cache,falls-trail-cache,https://www.geocaching.com/geocache/GC1D1B6_falls-trail-cache,N 53° 35.928,W 064° 18.863,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,25
GC1D1GZ,Burnwood Nano,burnwood-nano,https://www.geocaching.com/geocache/GC1D1GZ_burnwood-nano,N 53° 18.591,W 060° 22.874,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,93
GC1DGEQ,Jordan's Beaver Pond Cache,jordans-beaver-pond-cache,https://www.geocaching.com/geocache/GC1DGEQ_jordans-beaver-pond-cache,N 47° 06.296,W 052° 56.321,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,18
GC1DGEX,Cache and Dash 5,cache-and-dash-5,https://www.geocaching.com/geocache/GC1DGEX_cache-and-dash-5,N 47° 06.216,W 052° 55.601,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,93
GC1DGF1,The Broylers' Cache,the-broylers-cache,https://www.geocaching.com/geocache/GC1DGF1_the-broylers-cache,N 47° 04.386,W 052° 56.750,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,85
GC1DGFA,Rocky Pond Cache,rocky-pond-cache,https://www.geocaching.com/geocache/GC1DGFA_rocky-pond-cache,N 47° 03.509,W 052° 55.606,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,79
GC1DGFF,Moose Lane,moose-lane,https://www.geocaching.com/geocache/GC1DGFF_moose-lane,N 47° 09.305,W 052° 53.847,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,56
GC1DGGA,Cache and Dash 7,cache-and-dash-7,https://www.geocaching.com/geocache/GC1DGGA_cache-and-dash-7,N 47° 07.877,W 052° 54.310,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,76
GC1DHZ6,A Combination of Things #3,a-combination-of-things-3,https://www.geocaching.com/geocache/GC1DHZ6_a-combination-of-things-3,N 47° 31.236,W 052° 52.478,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,168
GC1DW2F,Tippings Pond Memory Cache,tippings-pond-memory-cache,https://www.geocaching.com/geocache/GC1DW2F_tippings-pond-memory-cache,N 48° 55.934,W 057° 52.798,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,92
GC1DWK6,glacier island,glacier-island,https://www.geocaching.com/geocache/GC1DWK6_glacier-island,N 51° 29.926,W 055° 46.657,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,63
GC1E1DB,Rare Birds Number 1,rare-birds-number-1,https://www.geocaching.com/geocache/GC1E1DB_rare-birds-number-1,N 52° 57.048,W 066° 56.675,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,41
GC1E6MK,Cashing Out,cashing-out,https://www.geocaching.com/geocache/GC1E6MK_cashing-out,N 53° 18.060,W 060° 24.788,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,81
GC1ECQ0,St. Mike's,st-mikes,https://www.geocaching.com/geocache/GC1ECQ0_st-mikes,N 53° 17.810,W 060° 25.304,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,70
GC1EN9R,Bay Roberts Lookout,bay-roberts-lookout,https://www.geocaching.com/geocache/GC1EN9R_bay-roberts-lookout,N 47° 33.819,W 053° 18.518,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,169
GC1ETX3,Bear Den Nearby,bear-den-nearby,https://www.geocaching.com/geocache/GC1ETX3_bear-den-nearby,N 52° 57.340,W 066° 49.270,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,73
GC1F07V,True Hiker's Cache2,true-hikers-cache2,https://www.geocaching.com/geocache/GC1F07V_true-hikers-cache2,N 49° 35.992,W 057° 46.555,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,163
GC1F1C6,Stuck in the Middle,stuck-in-the-middle,https://www.geocaching.com/geocache/GC1F1C6_stuck-in-the-middle,N 53° 19.861,W 060° 25.127,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,64
GC1F73P,Amid the Trees,amid-the-trees,https://www.geocaching.com/geocache/GC1F73P_amid-the-trees,N 53° 18.315,W 060° 24.918,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,69
GC1F8X6,PAB VIC!,pab-vic,https://www.geocaching.com/geocache/GC1F8X6_pab-vic,N 47° 35.940,W 059° 09.765,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,381
GC1FB10,See Any Fish?,see-any-fish,https://www.geocaching.com/geocache/GC1FB10_see-any-fish,N 48° 57.396,W 057° 49.506,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,72
GC1FK5R,North Head Cache,north-head-cache,https://www.geocaching.com/geocache/GC1FK5R_north-head-cache,N 46° 55.130,W 052° 55.252,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,21
GC1FN0K,Newfoundland's Premier Cache,newfoundlands-premier-cache,https://www.geocaching.com/geocache/GC1FN0K_newfoundlands-premier-cache,N 47° 34.278,W 052° 42.325,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,10
